Event, Details, Time(s)
Start, 05/05/2025 08:17:56, 0.3533333

Connected Devices Changed, , 15.68994
Connected Devices Changed, , 16.05697
Connected Devices Changed, , 16.07366
Connected Devices Changed, , 16.07366
Connected Devices Changed, , 16.07366
Connected Devices Changed, , 24.11488
Connected Devices Changed, , 25.74982
Connected Devices Changed, , 25.76651
Connected Devices Changed, , 25.76651
Connected Devices Changed, , 25.76651
Connected Devices Changed, , 26.90112
Connected Devices Changed, , 27.18456
Connected Devices Changed, , 27.20125
Connected Devices Changed, , 27.20125
Connected Devices Changed, , 27.20125
Connected Devices Changed, , 27.4684
Connected Devices Changed, , 28.0354
Connected Devices Changed, , 28.0521
Connected Devices Changed, , 28.0521
Connected Devices Changed, , 28.0521
Connected Devices Changed, , 28.11908
Connected Devices Changed, , 28.78649
Connected Devices Changed, , 28.80316
Connected Devices Changed, , 28.80316
Connected Devices Changed, , 28.80316

Connected Devices Changed, , 38.94592
Connected Devices Changed, , 39.24614
Connected Devices Changed, , 39.24614
Connected Devices Changed, , 39.24614
Connected Devices Changed, , 39.24614
Connected Devices Changed, , 43.9322
Connected Devices Changed, , 44.24887
Connected Devices Changed, , 44.24887
Connected Devices Changed, , 44.26554
Connected Devices Changed, , 44.26554
Connected Devices Changed, , 44.81852
Connected Devices Changed, , 44.83519
Connected Devices Changed, , 44.83519
Connected Devices Changed, , 44.83519

Connected Devices Changed, , 46.06955
Connected Devices Changed, , 46.80288
Connected Devices Changed, , 46.81955
Connected Devices Changed, , 46.81955
Connected Devices Changed, , 46.81955
Connected Devices Changed, , 46.96955
Connected Devices Changed, , 47.73621
Connected Devices Changed, , 47.75288
Connected Devices Changed, , 47.75288
Connected Devices Changed, , 47.75288
Connected Devices Changed, , 48.25288
Connected Devices Changed, , 48.70288
Connected Devices Changed, , 48.71954
Connected Devices Changed, , 48.71954
Connected Devices Changed, , 48.71954
Connected Devices Changed, , 50.22383
Connected Devices Changed, , 50.5408
Connected Devices Changed, , 50.57417
Connected Devices Changed, , 50.57417
Connected Devices Changed, , 50.57417
Connected Devices Changed, , 62.33571
Connected Devices Changed, , 62.6193
Connected Devices Changed, , 62.636
Connected Devices Changed, , 62.636
Connected Devices Changed, , 62.636
Connected Devices Changed, , 64.43777
Connected Devices Changed, , 65.005
Connected Devices Changed, , 65.02168
Connected Devices Changed, , 65.02168
Connected Devices Changed, , 65.02168
Connected Devices Changed, , 65.68901
Connected Devices Changed, , 66.0727
Connected Devices Changed, , 66.0894
Connected Devices Changed, , 66.0894
Connected Devices Changed, , 66.0894

Connected Devices Changed, , 79.36909
Connected Devices Changed, , 79.6527
Connected Devices Changed, , 79.66936
Connected Devices Changed, , 79.66936
Connected Devices Changed, , 79.66936
Connected Devices Changed, , 87.6439
Connected Devices Changed, , 87.96086
Connected Devices Changed, , 87.97756
Connected Devices Changed, , 87.97756
Connected Devices Changed, , 87.97756
Connected Devices Changed, , 89.17873
Connected Devices Changed, , 89.46233
Connected Devices Changed, , 89.47903
Connected Devices Changed, , 89.47903
Connected Devices Changed, , 89.47903
Connected Devices Changed, , 89.87943
Connected Devices Changed, , 90.21307
Connected Devices Changed, , 90.24644
Connected Devices Changed, , 90.24644
Connected Devices Changed, , 90.24644
Connected Devices Changed, , 91.54773
Connected Devices Changed, , 91.84802
Connected Devices Changed, , 91.84802
Connected Devices Changed, , 91.84802
Connected Devices Changed, , 91.84802
Connected Devices Changed, , 93.68313
Connected Devices Changed, , 95.30139
Connected Devices Changed, , 95.31806
Connected Devices Changed, , 95.31806
