Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 Auth, Sent: {"deviceId":"423eb08d12de8eebc3ccdfe0c50c3a84d4af7609"} -- Received: {"registered":true,"device":"423eb08d12de8eebc3ccdfe0c50c3a84d4af7609","token":951583,"name":"device1","agentId":"6708d877f86545dd1d64ae0f","cashierId":"671e9e60b1418c7fd2eeb8cf","currency":"₦","superAgentId":"6708d877f86545dd1d64ae0f","id":"684b55eff20ab3001efa6071","setBonus":5.5}, 0.7587494 
 Connected, Connected to socket, 3.058732 
 Join room, {"deviceId":"684b55eff20ab3001efa6071","agentId":"6708d877f86545dd1d64ae0f"}, 3.058732 

 Start, 15/06/2025 15:15:14, 0.03664999 
 Auth, Sent: {"deviceId":"423eb08d12de8eebc3ccdfe0c50c3a84d4af7609"} -- Received: {"registered":true,"device":"423eb08d12de8eebc3ccdfe0c50c3a84d4af7609","token":951583,"name":"device1","agentId":"6708d877f86545dd1d64ae0f","cashierId":"671e9e60b1418c7fd2eeb8cf","currency":"₦","superAgentId":"6708d877f86545dd1d64ae0f","id":"684b55eff20ab3001efa6071","setBonus":5.5}, 0.5438416 
 Connected, Connected to socket, 2.8105 
 Join room, {"deviceId":"684b55eff20ab3001efa6071","agentId":"6708d877f86545dd1d64ae0f"}, 2.8105 

 CreatePlayer, Response Time: 0.283329, Response: {"status":"ok","data":{"wallet":0,"bonus":0,"playLevel":20,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":10,"superAgentId":"6708d877f86545dd1d64ae0f","id":"684ee3af29b8990026289acf"}}, 44.29321 

 PlaceBet, Response Time: 0.2166481, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3119329260","betType":"single","playerId":"2","roundId":"17500005433146252","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:16:16.943Z","id":"684ee3c0e2aef600153cde3d"}}, 61.32629 
 PlaceBet, Response Time: 0.2833138, Response: {"status":"error"}, 61.47629 
 PlaceBet Status Not OK, response: {"status":"error"}, 61.47629 
 PlaceBet, Response Time: 0.2999954, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4740541657","betType":"single","playerId":"3","roundId":"17500005433146252","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:16:17.131Z","id":"684ee3c1ce1905000d9ad0b3"}}, 61.52629 
 PlaceBet, Response Time: 0.2000008, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6828406887","betType":"single","playerId":"4","roundId":"17500005433146252","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:16:18.089Z","id":"684ee3c2f97b90000ef73af8"}}, 62.47628 
